,Unnamed: 0,title,Lyrics,Artist,rank,row_id,user_id,song_id,listen_count,release,neg,neu,pos,compound,rank_dec,cluster,ID
0,0,Still,stillthough you broke my heartstillthough we're far aparti love you still stillafter all this timestillyou're still on my mindi love you stilli've lost count of the hours and i've lost track of the daysin fact i've lost just about everything since you went awayi love you stilleverything that is except the memories you left meand that's one things that no one can mari don't know who you're with i don't even know where you've gonemy only hope is that some day you might hear this songand you'll know i wrote it especially for youi love you stilland i love you wherever you are this flame in my heart is like an eternal firefor every day it burns hotter and every day it burns higheri love you stilland i haven't been able to put out one little flickernot even with all of these tearsmy friends all think i'm crazy and maybe i ambut i'll carry this torch just as long as i canfor someday you might just decide to come homei love you stilland i want you to know i'm still here,bill anderson,1,7530,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOVFENH12AB0185ED9,1,Some Mad Hope,0.065,0.738,0.198,0.9865,0,1,0
1,16,All Night Long,puffyi like this right here yeahbad boy and we won't stopfaith '99faith  	we can dance dance dance	clap your hands hands hands	all night if you're in the mood	do what you wanna do	all night longhappy days are hereso leave your cares behindjust relax your mindit's so easy to do itjust enjoy  yourselfif the feeling's rightget your groove on tonighttake your time tonighteverything's all rightain't nothing but a partyrepeat get up on the floordon't worry 'bout a thingthe rhythm's got you nowso come on get into itjust enjoy yourselfif the feeling's rightget your groove on tonighttake your time tonighteverything's all rightain't nothing but a partyrepeat have a good timelay back relaxjust free your mindlet the music take control of youpuffyyeah yeah yeah yeah yeahif it's a hot then i must've did itif it's not then i wasn't with itbad boy stay committedwhether hiphop or rbfeaturing faith evans costarring me p diddyyou know i got the key to your cityunlock the door rock some morebeats we lacebad boy heat the placewe run rb too cuz we keep the faithgivin the streets a tasteblaze the chartsfaithi rememberpuffyin case you forgotfirst lady b making it hotain't nobody taking the spotnow it's faith instead of paincoming through with a better grainin the dash cell phone better rangeget the cash and stock paper for the whole four quartersdamn some things never changecan ya feel me ya feel me let's make 'em dancelet's gorepeat have a good timelay back relaxjust free your mindlet the music take control of yourepeat  until fade,faith evans,13,22376,14a2164d869d1fb9562edb1a8e2bba195d17c184,SOOONKL12AB0187911,1,All Night Long,0.004,0.801,0.195,0.9952,0,1,1
2,27,Baby,produced by thedream and tricky stewart justin bieberoh woahoh woahoh woah justin bieberyou know you love me i know you carejust shout whenever and i'll be thereyou want my love you want my heartand we will never ever ever be apartare we an item girl quit playingwe're just friends what are you sayingsaid there's another and looked right in my eyesmy first love broke my heart for the first time and i was like justin bieberbaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine minebaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine mine justin bieberoh for you i would have done whateverand i just can't believe we ain't togetherand i wanna play it cool but i'm losing youi'll buy you anything i'll buy you any ringand i'm in pieces baby fix meand just shake me 'til you wake me from this bad dreami'm going down down down downand i just can't believe my first love won't be around and i'm like justin bieberbaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine minebaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine mine ludacrisludawhen i was  i had my first lovethere was nobody that compared to my babyand nobody came between us nor could ever come aboveshe had me going crazyoh i was starstruckshe woke me up daily don't need no starbucksshe made my heart pound and skip a beat when i see her in the street andat school on the playground but i really want to see her on the weekendshe knows she's got me dazing 'cause she was so amazingand now my heart is breaking but i just keep on saying justin bieberbaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine minebaby baby baby ohlike baby baby baby nolike baby baby baby ohthought you'd always be mine mine justin bieberi'm gone yeah yeah yeahnow i'm all gone yeah yeah yeahnow i'm all gone yeah yeah yeahnow i'm all gone gone gone gone i'm gone,justin bieber,24,248,17aa9f6dbdf753831da8f38c71b66b64373de613,SOJPFPR12AB018109D,1,Ray Guns Are Not Just The Future,0.035,0.814,0.15,0.9919,0,1,2
3,37,Don't Forget About Us,don't forget about usdon't baby don't baby don't let it gono baby no baby no baby nodon't forget about usdon't baby don't baby don't let it gomy baby boyjust let it die with no goodbyesdetails don't matter we both paid the pricetears in my eyesyou know sometimes it'd be like that babypre now every time i see you i pretend i'm finewhen i wanna reach out to youbut i turn and i walk and i let it ridebaby i must confesswe were bigger than anythingremember us at our bestand don't forget aboutlate nights playing in the darkand waking up inside my armsboy you'll always be in my heart andi can see it in your eyes you still want itso don't forget about usi'm just speaking from experiencenothing can compare to your first true loveso i hope this will remind youwhen it's for real it's foreverso don't forget about usoh they say that you're in a new relationshipbut we both know nothing comes close towhat we had it perseveresthat we both can't forget ithow good we used to get itpre there's only one me and youand how we used to shine we used to shineno matter who you go throughwe are one that's a fact that you can't denyso baby we just can't let the fire pass us byforever we'd both regretso don't forget aboutlate nights playing in the darkand waking up inside my armsboy you'll always be in my heart andi can see it in your eyes you still want itso don't forget about usi'm just speaking from experiencenothing can compare to your first true loveso i hope this will remind youwhen it's for real it's foreverso don't forget about usand if she's got your headall messed up nowthat's the trickeryso why you act like you don't knowhow this loving used to bei bet she can't do it like me she'll never be mcbaby don't you don't you forget about uslate nights playing in the darkand waking up inside my arms about usboy you'll always be in my heart andi can see it in your eyes you still want itso don't forget about us about us oh babei'm just speaking from experiencenothing can compare to your first true love about usso i hope this will remind youwhen it's for real it's foreverso don't forget about uslate nights playing in the darkand waking up inside my armsboy you'll always be in my heart andi can see it in your eyes you still want itso don't forget about us about usi'm just speaking from experiencenothing can compare to your first true love about usso i hope this will remind you babewhen it's for real it's foreverso don't forget about us about usdon't baby don't baby don't let it gono baby no baby no baby no don't forget about usdon't baby don't baby don't let it gowhen it's for real it's foreverso don't forget about us,mariah carey,35,5193,4691b4c353503da2c108e372ff056a9ac847c4d1,SOBGDOL12A6D4F6F21,13,Don't Forget About Us,0.039,0.772,0.19,0.9967,1,2,3
4,54,Spirits In The Material World,there is no political solutionto our troubled evolutionhave no faith in constitutionthere is no bloody revolutionwe are spirits in the material worldare spirits in the material worldwe are spirits in the material worldare spirits in the material worldour socalled leaders speakwith words they try to jail youthey subjugate the meekbut it's the rhetoric of failurewe are spirits in the material worldare spirits in the material worldwe are spirits in the material worldare spirits in the material worldwhere does the answer lieliving from day to dayif it's something we can't buythere must be another waywe are spirits in the material worldare spirits in the material worldwe are spirits in the material worldare spirits in the material worldwe are spirits in the material worldare spirits in the material worldwe are spirits in the material worldare spirits in the material world,the police,50,2298,f28f980d8842ebfaa31e8fb3939aace4a43a18ec,SOPCMUQ12A67ADA1C3,2,Every Breath You Take : The Classics,0.052,0.931,0.017,-0.6281,1,3,4
5,67,Someday,someday when my life has passed me byi'll lay around and wonder why you were always there for meone way in the eyes of a passer byi'll look around for another try and they'll fade awayjust close your eyes and i'll take you therethis place is warm and without a carewe'll take a swim in the deep blue seai go to leave as you reach for mesome say better things will come our wayno matter what they try to say you were always there for mesome way when the sun begins to shinei hear a song from another time and they fade awayand fade they awayjust close your eyes and i'll take you therethis place is warm and without a carewe'll take a swim in the deep blue seai go to leave as you reach for mesomeone said we tried too long someday will pass me bysomeone said we got it all wrong someday i wonder whysomeone said we tried too long someday will pass me byis there a place where i belong someday willso farso longso far awayso farso wrongso far away away away repeatedsomeday when my life has passed me byi'll lay around and wonder why you were always there for meone way in the eyes of a passer byi'll look around for another try and they'll fade awayand they fade away repeats many times until it fades out,sugar ray,61,5106,f608c215606e6421a429ea28ad08243241d5347d,SODORVA12A8C13B259,1,The Long Road,0.023,0.935,0.042,0.3612,1,2,5
6,68,Switch,yo mic check mic check yeah here you gonah he over hereyeah i heard he got that hot new thingit's called switch switchlet's get it goinghookheeeeeeeeeeeeeyturn it over and hit itturn around now switchturn it over and hit itheeeeeeeeeeeeeyvibe to vibe a second it's a club girl why you arrived nakedhear that how the veteran glide the recordbut don't download go out and buy the recordheeeeeeeeeeeeeysomething sexy bout agirl on the floor all her friends around heri mean real clean ain't gotta touch or nothingit ain't like i like a chick on chick or somethingi'm just a sucker for a hot trackgimme a drink and a chick to tell 'stop that'dance is a hop and a clap flip it roundnow bring it on back break it downnow switchhookheeeeeeeeeeeeeyturn it over and hit itturn around now switchheeeeeeeeeeeeeyturn it over and hit itooh la la laheeeeeeeeeeeeeyswitchturn it over and hit itturn around now switchturn it over and hit itooh la la lai gotta question i need to ask somebodywhy is it that when y'all see me at the partyy'all be looking like 'ooo he's a movie starhe ain't supposed to be out on the floor with everybody'but oh wait whoa y'all forgettingwhen i was amateur spitting before the scripts were writtenfirst one in last one out the clubbursting in passing out in the clubback at it this cat is the wit and the charmtaking you higher like a syringe hittin ya armbringing the fire making you benz ring the alarmlet me see you clap spin baby come onswitchhookheeeeeeeeeeeeeyturn it over and hit itturn around now switchheeeeeeeeeeeeeyturn it over and hit itooh la la laswitchheeeeeeeeeeeeeyturn it over and hit itturn around now switchturn it over and hit itooh la la laheeeeeeeeeeeeey heeeeeeeeeeeeeyoh you just gonna stand there huhwhat you too cute to dance or you scaredit ain't really that hard to do andi ain't trying to be in love with you andall i wanted was a moment or two tosee if you could do that switcharoo andshut your mouth fool get your crew andthe thick body and the rear one too andi'll be right here waiting on you tosee if y'all can do that switcharooheeeeeeeeeeeeey heeeeeeeeeeeeeythat's what i'm talking bout do that thing mamathat's what i'm talking bout do that thing mamathat's what i'm talking bout do that thing mamathat's what i'm talking bout switchhookheeeeeeeeeeeeeyturn it over and hit itturn around now switchheeeeeeeeeeeeeyturn it over and hit itohh la la laswitchheeeeeeeeeeeeeyturn it over and hit itturn around now switchturn it over and hit itooh la la laswitchheeeeeeeeeeeeeyturn it over and hit itturn around now switchheeeeeeeeeeeeeyturn it over and hit itooh la la laswitchheeeeeeeeeeeeeyturn it over and hit itturn around now switchturn it over and hit itooh la la laswitch,will smith,62,10582,1b724b66314d54ad60efae79a106482072108afc,SOZWLHR12A8C13F211,2,Ultimate R&B,0.031,0.916,0.052,0.8745,1,2,6
7,74,Cherish,let's take a walk together near the ocean shorehand in hand you and ilet's cherish every moment we have been givenfor time is passing byi often pray before i lay down by your sideif you receive your calling before i awakecould i make it through the nightcherish the love we havewe should cherish the life we live ohcherish the love cherish the life cherish the lovethe world is always changing nothing stays the samebut love will stand the test of timethe next life that we live in remains to be seenwill you be by my sidei often pray before i lay down by your sideand if you receive your calling before i awakecould i make it through the nightcherish the love we havewe should cherish the life we live baby yeahcherish the love cherish the life cherish the lovecherish the love we havelet's cherish every moment we have togetherfor as long as we both shall livehand in hand you and icherish the love cherish the life cherish the lovespokencherish the lovecherish the lifecherish the love we havewe should cherish the life we livecherish the love cherish the life cherish the lovecherish the love we havefor as long as we both shall livecherish the love cherish the life cherish the lovecherish the love we havelet's cherish every moment we have togetherwe should cherish the life we livehand in hand you and icherish the love cherish the life cherish the love,kool the gang,68,17416,3a5d603a2f97a9c5af4d05fce82bff041559348a,SONXYVJ12AB0187BE5,1,Celebration,0.0,0.622,0.378,0.9989,1,2,7
8,75,Slam,onyxslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboys fredro starrwell its another one in the gutter one ghetto running emtroublesome extra double dumb i come to beat emdefeat em and mistreat em so what if that im cheatingnow everybody wanna sound grimey yeah i knowima show ya how come on all in together nowyeah oh yeah yeah thats how it gotta beso stop trying to be loud as me cause you can't do thatthink about it playing russian roulette with an automatici bet my ass against the line the last bullets first on linestab and step and repping and run packing a weapon is wildpeace to the brothers on rikers isletough enough and trembling blend in like a chameleonbuck bye tough guy oh my god im so highcause they say i rhyme they say i look like a gremlinbut what does it take to make a kid make a million children slam onyxslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboysslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboys suavéim the nitty nasty gritty smashing never slow gassingstrictly swift blast of the raspyrasp fashionthat i provide i abide the usgbesides the ghetto vibe make me flip like jekyll and hydeof course i come across with the pure for sure unadulterated uncut rawdisgusted busted you wanna touch it too hotyou forgot youre not ready your head could get rupturedhit between the eyes i plan to vandalizei supply the static i run with the bad guysthe villains crooks highlighters and the fighterssee the big black picture if you look inside of my mindits graphic expressed it drasticso kill the copycat act kid its all mastereddirected it when y'all least expected itand thought it was safe onyx hit you in the face so slam onyxslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboysslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboys sticky fingazim a bboy standing in my bboy stancehurry up and give me the microphone before i bust in my pantsthe mad author of anguish my language pollutedonyx is heavyweight and still undisputedyou took the words right out my mouth now walk a mile in my shoesi paid so many dues i feel used and abused and im so confusedexcuse me for example im an inspiration of a whole generationand unless you got ten sticky fingers its an imitationa figment of your imaginationbubububut wait it gets worseim not watered down so im dying of thirstcoming through with a scam foolproof planbboys make some noise and just just slam onyxslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboysslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboys onyxslam da duh duh da duh duhlet the boys be boysslam da duh duh da duh duhmake noise bboyslet the boys be boysslam da duh duh da duh duhmake noise bboysslam,onyx,69,5655,1b704d4cddabea8258bd93497fcb73eab32fa592,SOVRQFG12A8C133A76,5,Addicted to Bass Winter 2009,0.098,0.853,0.049,-0.9843,1,3,8
9,84,She's Out Of My Life,she's out of my lifeshe's out of my lifeand i don't know whether to laugh or cryi don't know whether to live or dieand it cuts like a knifeshe's out of my lifeit's out of my handsit's out of my handsto think for two years she was hereand i took her for granted i was so cavaliernow the way that it standsit's out of my handsso i've learned that love's not possessionand i've learned that love won't waitnow i've learned that love needs expressionbut i've learned too lateand she's out of my lifeshe's out of my lifedamned indecision and cursed pridekept my love for her locked deep insideand it cuts like a knifeshe's out of my life,michael jackson,77,40067,5ad5e990ee28f6e2d540a80fa669e89d117cc1c6,SOGYSDR12A8AE488B9,1,King Of Pop,0.045,0.784,0.17,0.9584,2,0,9
